Keyword,Confidentiality Level,Sensivity Level
กระจุกกระจิก,5,10
กระดาน,5,10
แก่,10,10
เกรียน,10,10
เกเร,10,10
เกิน,10,10
ขวางโลก,10,10
ขัดสมาธิ,10,10
ขุ่นมัว,10,10
คมคาย,10,10
กระเซอะกระเซิง,15,10
เคร่งขรึม,15,10
เครียด,15,10
งอแง,10,10
โง่,15,10
จังไร,15,10
จัญไร,15,10
เจือ,10,10
เจือจาง,10,10
ต่ำ,10,10
ต่ำต้อย,10,10
ฉูดฉาด,10,10
ชั่ว,10,10
ชู้สาว,15,10
ซวย,10,10
ซ้ำ,10,10
ซ้ำซ้อน,10,10
ซ้ำร้าย,15,10
เซ่อ,10,10
ดุดัน,15,10
ดุร้าย,15,10
ตกม้าตาย,10,10
ทราม,10,10
ทะลุ,10,10
ทุเรศ,15,10
เทียม,10,10
นักเลง,10,10
ติดลบ,10,10
เบื่อ,15,10
ปรัมปรา,10,10
เท็จ,10,10
ตอแหล,10,10
ตาขาว,10,10
ฉุนเฉียว,10,10
เฉโก,10,10
เฉื่อย,10,10
ชะงัด,10,10
ชู้สาว,10,10
ซวย,10,10
ซ้ำซ้อน,10,10
ซ้ำร้าย,15,10
ซุกซน,10,10
เซ่อ,10,10
ซบเซา,10,10
ดื้อ,10,10
ดุร้าย,15,10
เดียรดาษ,10,10
ตกม้าตาย,10,10
ตรงข้าม,10,10
ตระหนี่ถี่เหนียว,10,10
ตอแหล,10,10
ตาขาว,15,10
ชนชั้นต่ำ,15,10
ต่ำต้อย,15,10
ติดเชื้อ,15,10
เตี้ย,10,10
ถวัล,5,10
ทรหด,10,10
ทราม,10,10
ทะลุ,10,10
ทื่อ,10,10
ทุเรศ,15,10
เท็จ,10,10
เทียม,10,10
น้อย,10,10
นักเลง,10,10
น่าย,10,10
บิ่น,10,10
บุ๋ม,10,10
เบี่ยง,10,10
เบื่อ,15,10
ปากเสีย,15,10
ปากหมา,15,10
ปาราชิก,10,10
เป็นลม,10,10
เปล่าเปลี่ยว,10,10
เปื่อย,10,10
แปร่ง,10,10
ผรุสวาจา,5,10
ผิดพลาด,15,10
ผิดหวัง,10,10
เผ็ดร้อน,10,10
แผล,10,10
เผล,10,10
เล่นแผลงๆ,10,10
พล่าน,10,10
พิการ,15,10
เพี้ยน,10,10
แพง,15,10
ฟกช้ำ,5,10
มัวหมอง,10,10
โมเม,5,10
ยับเยิร,15,10
ยืดยาด,5,10
ยุ่งเหยิง,15,10
โย้เย้,15,10
รกเรื้อ,10,10
ร่อแร่,10,10
รัดกุม,15,10
ใจร้าย,15,10
ร้ายกาจ,15,10
ริบหรี่,10,10
รุนแรง,15,10
รุ่ยร่าย,10,10
คนล้ม,10,10
ลักขโมย,10,10
ล้าสมัย,10,10
ลำบาก,15,10
เลวมาก,10,10
โลเล,10,10
ว่ายาก,10,10
วิปโยค,10,10
วิเวก,5,10
สลัว,10,10
สวะ,10,10
